,input,label,predicted
1159,Tolong mengulang sekali lagi.,thisissos Please repeat. thisiseos,please try it again
1160,Aku tidak bermaksud menyakitimu.,thisissos I didn't mean to hurt you. thisiseos,i dont mean that she did not mean it
1161,Dia sudah berusia lebih dari 20 tahun.,thisissos She is on the wrong side of twenty. thisiseos,he is do than years old
1162,Umur dia hampir empat puluh tahun.,thisissos He is near forty. thisiseos,age he was almost four years old years old
1163,Michael masih belum memeriksa pintu-pintunya.,thisissos Michael hasn't checked the doors yet. thisiseos,the only never found out look different about family didnt have has fish thanks yet your bill had your family hasnt seen your family not yet hard has yet yet has still have the fish last still has about not your had your had already young your face still the wrong dont think has happened yet found of your family yet has happened yet tried about family yet yet tried yet yet has had already your family knew has about finished breakfast yet havent seen your family french your family has happened your family hasnt has happened bill yet has about family still just had already your family french havent seen your family didnt have had already your family not has seen your family french your family looking still has happened your family has fish about just had has fish tried yet has about different had my family didnt have has had already young your family your family didnt have has happened bill yet has happened bill yet has seen your family your family still just had about just had already around your family your family your family didnt have has had already around has happened bill yet has happened your family knew has hasnt has happened bill yet has had my mind had already your family your family your family didnt
1164,"Kalau Tom tidak keberatan, saya ingin makan siang bersamanya.","thisissos If Tom doesn't mind, I'd like to join him for lunch. thisiseos",if tom doesnt mind i want to eat lunch with him any lunch with him lunch with him about him
1165,Tom menutup lacinya.,thisissos Tom closed the drawer. thisiseos,tom shut the used to the called tom shut the used to the called late close the used to the used to open tom shut
1166,Apakah Anda memiliki asuransi jiwa?,thisissos Do you have life insurance? thisiseos,do you have any life
1167,Dia selalu tertarik dengan astronomi.,thisissos He was always interested in astronomy. thisiseos,he always interested in astronomy
1168,Boleh tolong buka pintunya?,thisissos Could you please open the door? thisiseos,will you open the door open the door open
1169,"""Jika terjemahannya benar, mengapa Anda tidak menyukainya? """"Karena itu dibuat oleh mesin.""""""","thisissos ""If the translation is correct, why don't you like it? """"Because it was made by a machine."""""" thisiseos",if the favorite any why do you dont want to be true so high why that why it is so expensive with him computer go with him now its no really make any more high school by so it with him really that do that so high doesnt like high school like high school just doesnt understand about so high why it really dont really true so high why dont really mean why would like high why that dont mean why didnt make so high why thats so high why wanted to be very expensive so high why didnt make so high why isnt very high would like is so high why wanted to make so high do that boy so high school for sure if train so high why dont mean why would like high is so high why wanted to make best for sure if it is not different train so high school love so high school love so high school look better so high school so high why doesnt make so high why im not very bad place like being so high why thats so high why it was not make so high why doesnt make so high why didnt make so high why doesnt make best for sure if train so high why doesnt mean why thats so
1170,Aku teman Tom.,thisissos I'm Tom's friend. thisiseos,im toms friend for tom friend
1171,Nama saya Tom.,thisissos My name is Tom. thisiseos,toms name is i could tom my name
1172,Kamu mau yang mana?,thisissos What'll you have? thisiseos,where are you going
1173,Aku tidak lagi yakin dengan apapun.,thisissos I can't be sure of anything anymore. thisiseos,im not any longer
1174,Tom terlihat sedikit kebingungan.,thisissos Tom looks a little confused. thisiseos,tom looks a bit confused look confused
1175,Tom sedang membaca buku.,thisissos Tom is reading a book. thisiseos,tom is reading a book books
1176,"Sejauh yang saya tahu, Tom tidak pernah mencoba membunuh diri.","thisissos As far as I know, Tom has never tried to commit suicide. thisiseos",the job who had tom doesnt ive tried to kill me try
1177,Apakah temanmu suka teh?,thisissos Does your friend like tea? thisiseos,do your friend like tea like tea for some more kind of coffee
1178,Kau berbicara bahasa Inggris dengan fasih.,thisissos You speak English fluently. thisiseos,youre speaking english in japan
1179,Aku harus membantu.,thisissos I have to help. thisiseos,i must help me to help me to help
1180,Apakah kalian suka membaca?,thisissos Do you like to read? thisiseos,do you like to read
1181,Berhenti berteriak.,thisissos Stop screaming. thisiseos,stop good ask ask
1182,Aku lelah dengan hidup yang monoton ini.,thisissos I'm tired of this monotonous life. thisiseos,i am tired of life to these life
1183,Kami melihat monyet di kebun binatang.,thisissos We saw the monkey at the zoo. thisiseos,we saw us with the just at the just this have was the just at marys see marys get the just against between today this could make get their just just kept on his just the sky after just kept the just at the just the just at marys just traffic jam look inside just do just around on the just the just at the just the just just do just the just the just the just the just the just the just the just the just the just the just the just at the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just at the just the just the just the just at the just at after the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just the just at the just the just the just the just the just the just the just the just the just the just the just the just at after this just the just the just the just the just the just the just the just the just the
1184,Aku belum melupakan kencan pertama kita.,thisissos I haven't forgotten our first date. thisiseos,ill still finished your first
1185,Anak anjing yang lapar mengonggong di jalan.,thisissos Hungry puppy barks on the street. thisiseos,the dog thats hungry whats for your way
1186,Jenis musik apa yang Anda inginkan pada pernikahan Anda?,thisissos What kind of music do you want at your wedding? thisiseos,what else did you want
1187,Terima kasih banyak.,thisissos Thank you kindly. thisiseos,thanks a lot much
1188,Aku terpeleset dan kakiku terkilir.,thisissos I slipped and twisted my ankle. thisiseos,i ran and very bad day and needs my close about my expensive number and forget it thank i make my family needs about my had toms expensive had ever known as my face as what and looks wish and make my high school about made my john and needs about my high school again as kind of john made me about toms high school about your old high school number and needs about toms things sometimes make someone made my had john and needs what my high school number can make toms had toms high school toms expensive number our had toms school number and may things havent bought make be toms high school toms toms high school number your high school toms things who she makes my john knows your high school number your high school number and same high school number your high school life and same high school both end of your high school about toms expensive good place who my john made my john made my high school food do just john and same place who get hurt your high school number and count your high school number only by your high school about marys toms school number can make toms high school toms high school your school number toms may talk about toms toms school number
1189,Tom dan Mary sudah melakukan apa yang seharusnya mereka lakukan.,thisissos Tom and Mary did what they were supposed to. thisiseos,tom and mary have done what she should be doing
1190,Aku Alex. Minggu lalu kita bertemu di hotel.,thisissos I'm Alex. We met last week at the hotel. thisiseos,i speak to meet you last week at the last hotel last hotel
1191,Aturan-aturanya sudah berubah.,thisissos The rules have changed. thisiseos,the stop have already change the change the answer
1192,Dia bermain golf tiap akhir pekan.,thisissos She plays golf every weekend. thisiseos,she is playing every other for week
1193,John dulu menikah dengan Jane.,thisissos John was married to Jane. thisiseos,john used to be married with john in jane
1194,Kau harus belajar bahasa Inggris dengan lebih keras.,thisissos You should study English harder. thisiseos,you must learn english or learn better
1195,Tom adalah penggemar dari Red Sox.,thisissos Tom is a Red Sox fan. thisiseos,tom is a have from the matter of your idea from what his your high school number your idea about toms idea of things from what she she does toms your high school by did toms have come your idea she did bill did bill made a good about his things he again from the matter school about your high she did bill did bill about your old idea from his idea has did on your good place about his your good place who she she did bill bill did havent made my idea from what she she did accident did good place about his your high school number did bill did bill place about his your idea have john tried thing bill your idea have what his your good place your high school bill your good place about your high school bill your high school bill your idea his your high school about his your high school your good place your high school bill bill your old idea has did havent john has did havent made a good place your idea as much your idea about his your bill your high school bill did bill did bill she she does havent known about someone did havent john bill your high school bill your high school bill your high school number have
1196,Permisi. Stasiun kereta bawah tanah ada di mana ya?,thisissos Excuse me. Where's the subway? thisiseos,excuse me which train was more beautiful on or why
1197,Barcelona adalah ibu kota Catalunya.,thisissos Barcelona is the capital of Catalonia. thisiseos,the matter is the city what theyre true about toms wrong matter the capital of what she has about the capital of capital thanks is the capital of theyre have beautiful life is the city have beautiful of their wrong completely wrong idea has about what she agree is the city have beautiful about what the capital of wrong matter is what theyre the wrong about what about wrong idea thanks of wrong capital of capital of capital of matter the wrong capital of thanks about what she does wrong job is the capital of capital of what wrong capital of matter the wrong capital of capital of the capital this beautiful city what theyre true what theyre true that thanks to understand what she have their have made my capital have made the capital capital of what she does up wrong capital of theyre true what she does up wrong capital of capital of what she did the capital have come wrong capital of their wrong idea thanks a lot of theyre about what she have their have come wrong capital of the wrong capital of the capital has what she does only about what she does the capital the capital have does wrong capital the wrong capital have made my capital of capital of what theyre true thanks about what
1198,Kamu tidak mengatakan apa-apa padanya?,thisissos You didn't tell him anything? thisiseos,you dont tell anything about him about that
1199,Dia suka kereta api.,thisissos He loves trains. thisiseos,he like train
1200,Tolong bonnya.,"thisissos The check, please. thisiseos",the bill please like the bill please think the bill please think the bill please think the bill please pass the bill please please like the bill the bill please please like the bill please the bill please the bill please the bill the bill please the bill please the bill please bill please bill please think the bill please think the bill please pass the bill please think the bill please think the bill please think the bill please think the bill please think the bill please the bill please think the bill please bill please the bill please think the bill please think the bill please bill please think the bill please bill please think the bill please think the bill please the bill please bill please the bill please think the bill please bill please think the bill please bill please think the bill please think the bill please think the bill please think the bill please bill please the bill please bill please bill please think the bill please think the bill please think the bill please think the bill please think the bill please the bill the bill please bill please think the bill please think the bill please think the bill please the bill please the bill please bill please think the bill please want the
1201,Sesuatu yang kecil dapat menyebabkan hal yang besar.,thisissos Small things can lead to bigger things. thisiseos,something should best and must make it is big
1202,Kami pikir Tom akan siap.,thisissos We think Tom will be ready. thisiseos,we dont think tom is ready
1203,Aku memberitahu Tom beberapa lelucon.,thisissos I told Tom a few jokes. thisiseos,i told tom some joke a few joke that i will be a few joke some joke tom some joke a few joke
1204,"Mereka bukan kakak beradik, tapi mereka mencintai satu sama lain seakan mereka sudah seperti itu dari dulu.","thisissos They were not brother and sister, but they loved each other as much as if they had been. thisiseos",they dont want to get the brother but all other and do youre as the as they like
1205,Apakah Anda butuh tempat tinggal?,thisissos Do you need a place to stay? thisiseos,do you need a place for living in living
1206,Aku tidak mempercayaimu.,thisissos I don't trust you. thisiseos,i do not believe you are not believe you you do not believe you you do not believe you you you do not believe not believe you they do not believe that you do not believe you if you not believe you believe you do not believe you do i do not believe you mean not believe you believe you do not believe you are not believe you believe you are not believe you doing not believe you are not believe you doing not believe you doing not believe you believe you do not believe you are not believe you do not believe you youre not believe you doing not believe you doing not believe you do not believe you doing not believe you doing not believe you do not believe you doing not believe you are not believe you do not believe you youre not believe you do not believe you are not believe you do not believe you believe you doing not believe you not believe you are not believe you are not believe you youre not believe you are not believe you do not believe you you doing that you doing not believe you do not believe you youre not believe you do not believe you doing not believe you believe you do not believe you doing not believe
1207,Kursi kayu biasanya mahal.,thisissos Wooden chairs are usually expensive. thisiseos,the high are tired of expensive expensive and expensive and expensive children are these expensive and expensive expensive and expensive bicycle is this and usually am usually been usually an expensive high high expensive expensive expensive am usually expensive expensive and expensive and expensive expensive and expensive and expensive expensive high and expensive high expensive and expensive children am and expensive and expensive and expensive expensive and eat expensive expensive expensive high high expensive high expensive and expensive high expensive and expensive children am and expensive children an expensive high high are lost children are lost expensive expensive expensive and expensive and expensive high are lost expensive high expensive and expensive children are these expensive expensive been expensive and expensive children are lost children are lost expensive high expensive expensive children am usually expensive expensive and expensive high expensive high expensive expensive high expensive high expensive high expensive high expensive high high high expensive and expensive and expensive and expensive children am and expensive been use expensive high expensive and expensive high expensive and expensive high expensive high expensive high expensive high expensive and expensive and expensive and expensive high expensive high expensive expensive and expensive high high expensive and expensive and expensive an expensive children am and expensive high expensive and expensive and expensive expensive and expensive children am and expensive
1208,Aku akan pergi jika kamu juga.,thisissos I'll go if you will. thisiseos,ill tell you going if you too
1209,Aku tahu apa yang aku rasakan.,thisissos I know what I feel. thisiseos,i know what im sure
1210,Tom sedang mencarimu.,thisissos Tom is looking for you. thisiseos,tom is eating place
1211,Tidaklah penting untuk kau ketahui.,thisissos That's not important for you to know. thisiseos,theres not important to know that you know
1212,Susah untuk berbicara dengannya.,thisissos It's difficult to speak with him. thisiseos,was difficult to speak with him for him to say that
1213,Tom membuat keputusan yang buruk.,thisissos Tom made a terrible decision. thisiseos,tom made a nice decision
1214,Aku ingin mendengar pendapatmu.,thisissos I want your opinion. thisiseos,i want to hear you to your idea about me to hear you like your idea about your us what you like to hear something about me to hear you really like to hear you like all i heard you like your love your to hear your love you the first want me to hear you like you like what you like you want me your idea about your knows your idea about your love you like your idea about your love you to hear you to hear your idea us to hear you to hear you to hear your idea about your idea about your thinking about what you like your idea thinking about your love you like to hear your idea us what you like what you heard you like what you like to hear you to hear your thinking about your love you heard your idea thinking about what you like what you like what you like what you to hear you like what you heard your thought you like your idea about your love you heard you like your love you to hear what you to hear you to hear you like you heard your likes you to hear you heard you like me to hear you hear you like to hear what your idea about your love
1215,Apa kau mau membunuhku?,thisissos Are you gonna kill me? thisiseos,did you want me to listen up to me
1216,Dia terlihat serius membaca.,thisissos He was absorbed in reading. thisiseos,he looks serious be serious
1217,Pedro mempunyai motor dan dia suka mengendarainya.,thisissos Pedro has a motorcycle and loves to ride it. thisiseos,the have the her it and such television he doesnt like their good your their good idea and the your does the their not has their not have her to understand has their your good your end of her the matter the your life and mean much go expensive has love has their good your life has so the your life and good idea and has their good your does let him has their good your life and such as the your good your life and such being going has their good your life and good your life and such being going try your good your good your good your their your life has their good your life and good your their good your does his your good your their your good idea has their good your life has their your life and her your good your life has their good your their your their good your good your their your good have the matter knows has their going has their your their good idea dont have the your good your life and good your life has their your good your their good your end like has their your their your good your end like her your good have the matter doesnt like has their your life has their good your life
1218,Bukankah itu agak aneh?,thisissos Don't you think that's a bit weird? thisiseos,wasnt it was rather strange best
1219,Rumahmu besar.,thisissos Your house is big. thisiseos,just large these large or large do large i large large do it large do it large bad want large or large these large large these large often large large bad want large do large do large or it large or large want large just large do large or large or large do large do large large bad want large do large or large do large do large just large do large do large or large do large bad large bad large want large do large do large do large these large or large come by large want large want large do large just large do large do large come by large do large just large do large do large these large do large do large these large do large do large do large
1220,Sebuah studi tahun 2019 yang dilakukan oleh peneliti di Belanda menemukan bahwa emoji lebih mungkin menggantikan kata benda dan kata sifat. Emoji lebih jarang menggantikan kata kerja dan kata keterangan.,thisissos A 2019 study by researchers in the Netherlands found that emojis were more likely to replace nouns and adjectives. They were less likely to replace verbs and adverbs. thisiseos,a japanese hope about what the year is more his girlfriend like his way than shes looking for about better not live with the more about to be more go and have more expensive thing go and went to what love about the have about the same still have more fish and go to almost see way about more expensive about more go out about the way about more his way about the way about the way you and see his way you and see life and love life way about this matter has more expensive matter or am or am or or am and love something will have more his way about the way about the same longer this bird who will have more wake is more expensive matter what year getting more expensive food will have enough what year tried better thank do go to understand his way way about the way about the anymore the same have had more around the anymore the same own through those looking for again go to be like the way fish about the way about this way about the same way about the way about the same longer being tell the anymore go to be more around the way to be more around the same more expensive have more expensive food can have
1221,Anak-anakmu harus mendengarkanmu dan menghormatimu.,thisissos Your kids need to listen and respect you. thisiseos,your children must and close your first wish and your first wish and their has to tell your first their mind and show and completely could you and their tell you have to your had the coffee and your first their your children have to make their mind and the first and the coffee has to make fun and close party close friends must think has who must children thanks going to who has to tell your first their tell your had ever has to tell your had to make has their your had ever where looking must think the coffee has who has who must and your first their your had ever your had ever your first hope good idea has to your had their mind and your had ever your had ever your had ever your first their own children has to make someone who has to who and who and your had ever leave your had to make children think the children think the coffee party your had ever your had ever where their your had the children thanks a and your first hope has to your first their your first coffee please who and your the children think the coffee well can your had ever your had the coffee offer and your children your children thanks who and
1222,Tom melihat Mary datang menuruni tangga.,thisissos Tom saw Mary coming down the stairs. thisiseos,tom saw mary came the stairs the stairs
1223,Aku dengar ia telah menjual rumahnya.,thisissos I hear that he sold his house. thisiseos,i heard him has got that house that house had made him to sell their house for that he had made her house house for that she got sold that she had made me to sell that he had made up has heard their house that house had made her house for that he had made up of her house because her house has got of her house house her house had made up to sell their house had had sell their house that house that house that house had sell their house had made up has got that house had made up but he has made up he had sell their house that house that house her house of her house that house that he has had made up has got sell their house that house had sell their house
1224,Apakah ia memiliki sebuah piano?,thisissos Does she have a piano? thisiseos,did he have a piano with a piano
1225,Tom terlihat agak sakit.,thisissos Tom looks a bit sick. thisiseos,tom looks a little sick
1226,Dia lebih indah dariku.,thisissos She's more beautiful than me. thisiseos,she is more beautiful than me
1227,Ambilah jalan yang benar.,thisissos Take the right road. thisiseos,the street has true he is true
1228,Berbicara bahasa Jepang itu mudah bagi saya.,thisissos Speaking Japanese is easy for me. thisiseos,me speak japanese is easy for once for me to be easy for japan to be easy for little
1229,Tidak ada yang tahu ke mana Bill pergi.,thisissos Nobody knows where Bill has gone. thisiseos,no one knows where he has
1230,Kau meremehkan dia.,thisissos You are selling him short. thisiseos,do you he well
1231,Dah!,thisissos Bye! thisiseos,let her job who let him have says tell your mind says your mind has let her mind says your mind says your mind says talk with mr job sometimes mr which sometimes mind says have says has close says your mind your mind says tell mr does your mind says really does your mind says have does your mind says tell mr which does your mind says have does your mind says have does your mind has let has let has thanks says have does your mind has let has let has let has let has close mind has thanks mind says your mind your mind your mind has thanks change her mind says your mind says have does your mind says your mind your mind says your mind says have does your mind has thanks change her mind your mind does your mind says your mind says your mind has let has thanks mind says tell has let has let has let has let her mind your mind has thanks mind your mind your mind has thanks says your mind your mind your mind your mind does your mind has thanks mind has let has thanks says your mind has thanks says your mind your mind says your mind your mind says your mind says your mind says your mind
1232,Rencana siapakah ini?,thisissos Whose plan is it? thisiseos,this plan this plan this plan this plan
1233,Aku lelah.,thisissos I am tired. thisiseos,i was tired tired of tired
1234,"Bukan, bukan aku, tetapi kamu!","thisissos No, not me, but you! thisiseos",no one im not sure but you but im not but im not sure but you
1235,Kamu bukan istriku.,thisissos You are not my wife. thisiseos,youre not my wife now
1236,Sekarang saya ingin piza hangat yang lezat.,thisissos I could go for a nice hot pizza right now. thisiseos,now i want to like pizza what ill again
1237,Aku pasti sudah membuat sebuah kesalahan.,thisissos I must have made a mistake. thisiseos,i must be finished a mistake
1238,Dia mengkedipkan matanya.,thisissos She blinked her eyes. thisiseos,she found him her eyes her eyes he had her eyes young he asked his eyes telling her eyes he left her eyes said to tell her eyes their eyes when he had her eyes closed his eyes her eyes he called eye he called her eyes left her eyes closed he asked his eyes her eyes about her eyes closed shes young her eyes about her eyes eyes about her eyes around her eyes about her eyes around he had her eyes closed he asked her eyes about her eyes closed her eyes her eyes he found her eyes he made her eyes about her eyes around he found her eyes fire her eyes closed he said he found her eyes her eyes her eyes closed her eyes closed his eyes around her eyes closed her eyes closed his eyes young eyes he had her eyes her eyes closed her eyes closed he had her eyes her eyes her eyes closed his eyes he made her eyes her eyes he found her eyes about her eyes her eyes closed her eyes young eyes fire young eyes closed he had her eyes fire young he made her eyes fire young eyes young eyes about her eyes young eyes closed he found her eyes closed he found her eyes closed his eyes closed
1239,Kamu pernah ke luar negeri?,thisissos Have you ever been abroad? thisiseos,have you been abroad
1240,Kami juga setuju.,thisissos We agree as well. thisiseos,we also agree also agree also agree also agree also agree
1241,Ada apa denganmu?,thisissos What's the matter with you? thisiseos,whats wrong with you
1242,Aku suka dengan perkataanmu waktu rapat tadi.,thisissos I liked what you said at the meeting. thisiseos,i like the word in this meeting
1243,Tom mencoba untuk tidak menangis.,thisissos Tom is trying not to cry. thisiseos,tom tried to try
1244,Pulau itu besarnya enam kali luas Manhattan.,thisissos The island is six times the size of Manhattan. thisiseos,the island is six times just about it what toms food do just had a bad its six different about six things only food could get sick of get sick of place to understand what toms six different matter what big six different six into your place about big six different six different about what big six different six food might about what toms my matter your food different six different six different six what toms my matter matter what have come ill be when let about what time matter what big six what toms get sick what about what time matter what big time matter your food accident did traffic accident did just understand what can get sick all six different six what toms my matter six what my food accident did just about what can get sick of my food place about the island looks get sick what big six things only food accident did just about toms my food accident did just understand what big traffic accident what would get sick of get sick what big six different matter traffic accident did just understand what my matter your place about six what can get sick your food do just get sick all my matter six what big six what can get six what big six food traffic accident have
1245,Ia membisikkan sesuatu padanya.,thisissos She whispered something to him. thisiseos,he heard the one could him to her something really mean to her
1246,Segelas kopi meredakan sakit kepalaku.,thisissos A cup of coffee relieved me of my headache. thisiseos,a coffee glass of head of a head of head with my head of coffee glass of coffee glass of a head of head with my head of change my head with my head sick of head of head of head of head with sick of a head with a head with a head of head with sick of coffee glass of head of coffee glass of head of coffee glass of coffee glass sick of a head sick of coffee glass of head sick of a head of coffee glass of a head of coffee glass sick of head sick of coffee head of coffee glass of coffee head sick of coffee glass of coffee glass of coffee glass of coffee glass of a head sick of a head of coffee glass of coffee head sick of a head of head sick of a head of coffee glass sick of coffee glass of a head of coffee glass of coffee head sick of a head sick of coffee glass of a head of a head of a head of a head sick of a head of a head sick of coffee glass of coffee glass sick of coffee glass sick of head of a head of coffee head of coffee glass sick of a head sick of a head sick of
1247,Apa kamu membiarkan jendelanya terbuka?,thisissos Did you leave the window open? thisiseos,did you let the window open the window open the window who do i open the open the window you open what do you open to do the window open our window which did please open the window it open the window you the window open the window who open open your window open the window who did you open the window who did it open the window who did that you open the window open the window who did you open the window open the window who did you open the window open the window open the window open the window who open the window you open the window open the window who did you open the window who did you open the window open the window open the window who did you open the window who did you open the window who did you open the window you open the window open the window where do i open the window open your window you open the window who did that you open the window who did you open the window which window open the window who did which window you open the window open the window open the window open the window where do that you open the window you open the window open the window which window who did
1248,Aku menasihati Tom agar berhenti minum-minum.,thisissos I advised Tom to stop drinking. thisiseos,i put me to stop toms different with someone because it she does
1249,Ini bukan urusanmu.,thisissos It's none of your business. thisiseos,this isnt your mind is not your question
1250,Bagaimana cuacanya di New York?,thisissos How's the weather in New York? thisiseos,how can the new york as more york as have because of a little more weather in new york how more york how more weather in new york has been new york how for new york how as up in new york has been new york who has been new york can new york as a little york in new york because of the new york has on more york has been new york in new york how more new york and little york an york as have in new york what york has been new york has been new york as have because weather york can new york because york but new york how more york in new york as have because more new york how more weather york how more york because weather york as have a little more weather york how more weather york york can new york what york but new york how more new york york has little more big go new york and have because weather york as up york how more weather york an york as have a little york how more new york in new york because weather in new york has been new york as have the more weather york how more new york how more weather york because of the new york
1251,Basi! Madingnya udah siap terbit!,thisissos Too late! The wall magazine is ready to be published! thisiseos,the bill a such someone was like to come closed at the bill please
1252,Bisakah Anda mundur ke belakang?,thisissos Would you please step back? thisiseos,can you get your back at the back for the back
1253,Dia menolak permintaanku dengan mengatakan bahwa dia sibuk.,"thisissos He declined my request, saying that he was busy. thisiseos",he said busy to tell my way he busy isnt busy that he busy that he said busy that he busy busy doesnt said very busy busy busy wont say he said hes busy wont be very busy dont he busy busy busy that he said busy said very busy wont say busy that busy that busy that busy busy wont busy busy that he busy busy that he said very busy busy busy busy busy youre busy didnt say busy busy busy busy didnt say busy that he said busy that busy busy busy busy didnt really busy that he said busy that busy youre busy busy busy busy that busy that very busy busy that busy that very busy busy busy busy that he said busy busy that busy didnt really busy busy busy that he said busy busy that very busy really busy busy busy dont busy that busy youre busy busy busy didnt say busy dont very busy busy busy youre busy busy busy busy that he said busy that busy youre busy youre busy didnt busy said busy busy dont very busy busy wont busy that busy that he said busy busy wont busy that very busy busy busy didnt say busy busy that busy that he said busy didnt really said busy really busy that very
1254,Saya ingin naik ke puncak gunung Kitadake.,thisissos I want to climb to the peak of Mount Kitadake. thisiseos,id like to go to the matter what the matter what the matter of your matter what the matter i want to what your way to what the matter want to show want the matter what the matter of what your matter want to what your matter do you what the matter want to your matter want to your matter want to what the matter where need to what the matter want to what the matter go your matter go what the matter go your matter go what the matter what the matter do you what the matter go the matter go the matter do your matter want to what the matter go your matter go what the matter go your matter where you what the matter want to what the matter want to what the matter need to what the matter go your matter go what the matter go what the matter need to what the matter go what the matter go what the matter need to what the matter go what the matter need to what the matter go your matter go your matter need the matter what the matter  party matter want party party want party want matter party want party matter party party party party party party want want party do want party want party party want
1255,Tolong katakan yang sebenarnya.,thisissos Please tell the truth. thisiseos,please tell the truth the truth try it to tell the truth try it and truth just tell the truth it of the truth know the truth try please tell please tell the truth please just tell me the truth truth the truth and the truth truth tell let the truth tell the truth truth know the truth truth tell the truth truth know the truth truth by truth by truth truth truth truth truth truth truth truth try it truth truth truth truth try it truth truth try it may talk to tell show tell the truth truth truth truth try it truth truth truth truth truth truth truth truth truth try it give up the truth truth try it and tell the truth just tell the truth truth try it and truth truth truth try it give it truth truth try it truth truth truth truth let the truth tell the truth truth take the truth truth take the truth truth truth they tell your truth truth know the truth truth try it truth truth try it please tell me the truth know the truth try it the truth truth id tell let the truth truth truth truth try it truth truth try it truth truth truth truth truth try it and truth take your truth try it truth try
1256,Ayahmu tinggi besar.,thisissos Your father is tall. thisiseos,your dad is high any longer know big that big answer is big high the big high are big that big high your dad is high are big high your dad is big answer is big high has big tall have big high have a large you are large you is big high any expensive has large that big if you have large dad is large dad is big high is big high any much those tall that large that large that large dad is big high has large you have big high have the big high have a large that big high have the big if only one are large you are large answer is big you are large that large dad is big high have a large that large you are large that take a large answer is big high any high your dad is big high have large high you can take your dad is big high have the big high your dad is big high your dad is big high your dad is big high have a large dad is big high has large that large that large dad is big high have the big high your dad is big if only big high has large dad your dad is large dad is big high have big high
1257,Tentukan himpunan nilai dari konstan k yang memenuhi pertidaksamaan kuadrat x² + kx - 3k > 0 untuk semua nilai ril dari x.,thisissos Determine the range of values of the constant k to which the quadratic inequality x² + kx - 3k > 0 holds for any real value of x. thisiseos,the matter what the matter of your matter what your life tried tell your idea about the your good times all the only tell the your idea of his good idea which only about on the matter of the matter ill get such the matter tell the your good idea tried to what she real idea lot of the matter of the your life of the matter of the matter had about the only about what the your good idea his good idea food after what toms good idea about what the your good idea about the matter ill talk about the your good idea about the matter ill tell the matter what the matter ill eat everything she had about the your good idea money about the matter when the your good idea friends accident what the your good idea time tried thing what her good idea time tried to make his your good idea tried everything talk about the matter what the matter where his good idea when the matter ill get the matter what the matter ill talk about the matter what the your good idea about the matter id talk about the your good idea about the matter ill talk about the matter when the matter what the matter only about the matter what the matter money thank
1258,Dia sedang berusaha untuk berhenti merokok.,thisissos He is trying to quit smoking. thisiseos,he is trying to stop not to smoking in smoking
1259,Aku ingin hidup selamanya.,thisissos I want to live forever. thisiseos,i want to live with me i love with me i think about children all may
1260,Saya makan sepotong sandwich dengan margarin.,thisissos I am eating a sandwich with margarine. thisiseos,i eat another dog in right as the language i eat rice
1261,Saya ingin dia ada di kantorku.,thisissos I want him in my office. thisiseos,i want him something in your idea in your idea
1262,Ia mengendarai mobil impor.,thisissos She drives an imported car. thisiseos,she has missed the car she got life for years old car drive
1263,Kamu mau mengenakan apa?,thisissos What are you going to wear? thisiseos,what do you like wearing want to wear
1264,Apa kau sudah cukup yakin?,thisissos Are you quite sure? thisiseos,are you breakfast enough
1265,Semuanya terjadi begitu cepat.,thisissos It's all happening so fast. thisiseos,it happened very fast it was it happened it either
1266,Mari kita lakukan dengan caramu.,thisissos Let's do it your way. thisiseos,lets do it in you
1267,Selamat ulang tahun.,thisissos Happy birthday! thisiseos,happy birthday to be a birthday birthday to happy birthday birthday to happy birthday to happy birthday to happy birthday to happy birthday birthday birthday birthday to happy birthday to happy birthday to happy birthday to happy birthday to happy birthday birthday to happy birthday is happy birthday to happy birthday birthday birthday to happy birthday is happy birthday birthday birthday birthday birthday birthday to happy birthday to happy birthday to happy birthday birthday to happy birthday birthday to happy birthday birthday birthday birthday to happy birthday birthday birthday is happy birthday birthday is happy birthday to happy birthday to happy birthday to happy birthday is happy birthday to happy birthday to happy birthday to happy birthday birthday to happy birthday to happy birthday birthday birthday birthday to happy birthday to happy birthday to happy birthday is happy birthday to happy birthday to happy birthday birthday is happy birthday birthday birthday happy birthday birthday birthday birthday birthday birthday to happy birthday to happy birthday to happy birthday is happy birthday to happy birthday birthday birthday to happy birthday birthday birthday birthday to happy birthday birthday to happy birthday birthday birthday to happy birthday to happy birthday birthday birthday birthday is happy birthday birthday to happy birthday birthday birthday is happy birthday to happy birthday to happy birthday birthday is happy birthday to
1268,Tom dan aku bukan orang asing.,thisissos Tom and I aren't strangers. thisiseos,tom and i dont be a foreign person me him today
